File name,serial(m),levelOpt1(m),levelOpt64(m),levelOptMem1(m),levelOpt64(m),ddWtOpt1(m),ddWtOpt64(m)
trigramString_10000000,35,74,70,35,70,41,34
chr22.dna,112,244,241,112,241,124,113
etext99,402,804,805,403,805,503,500
howto,151,302,300,151,300,189,191
jdk13c,258,525,523,259,523,317,312
proteins,726,1527,1527,727,1527,851,831
rctail96,425,863,863,425,863,520,512
rfc,431,876,876,431,876,528,529
sprot34,406,824,825,406,825,497,498
w3c2,398,796,797,399,797,498,494
wikisamp.xml,382,764,765,383,765,478,481
randomSeq_100M_256_int,2590,2972,2971,2590,2971,2590,2926
randomSeq_10M_100K_int,286,324,322,286,322,304,757
randomSeq_10M_1048576_int,3091,3473,3472,3091,3472,3234,7426
randomSeq_10M_256_int,260,298,296,260,296,260,293
